BUCH_TITEL_KURZ	BUCH_TITEL	BUCH_AUSGABE_JAHR	KAPITEL_VON	KAPITEL_BIS	EINLEITUNG
PPK1	Plejadisch-plejarische Kontaktberichte Block 1	2002	1	38	Einleitung PPK 1
PPK2	Plejadisch-plejarische Kontaktberichte Block 2	2003	39	81	Einleitung PPK 2
PPK3	Plejadisch-plejarische Kontaktberichte Block 3	2004	82	132	Einleitung PPK 3
PPK4	Plejadisch-plejarische Kontaktberichte Block 4	2004	133	181	Einleitung PPK 4
PPK5	Plejadisch-plejarische Kontaktberichte Block 5	2004	182	229	Einleitung PPK 5
PPK6	Plejadisch-plejarische Kontaktberichte Block 6	2005	230	239	Einleitung PPK 6
PPK7	Plejadisch-plejarische Kontaktberichte Block 7	2005	240	260	Einleitung PPK 7
PPK8	Plejadisch-plejarische Kontaktberichte Block 8	2005	261	340	Einleitung PPK 8
PPK9	Plejadisch-plejarische Kontaktberichte Block 9	2007	341	383	Einleitung PPK 9
PPK10	Plejadisch-plejarische Kontaktberichte Block 10	2009	384	433	Einleitung PPK 10
PPK11	Plejadisch-plejarische Kontaktberichte Block 11	2010	434	475	Einleitung PPK 11
PPK12	Plejadisch-plejarische Kontaktberichte Block 12	2014	476	541	Einleitung PPK 12
PPK13	Plejadisch-plejarische Kontaktberichte Block 13	2015	542	596	Einleitung PPK 13
